Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1976-01-01,0.0281066154,0.0163313519,0.390367071,-1
1976-02-01,0.027665661785801664,0.016535161050545265,0.476847874212743,-1
1976-03-01,0.026912785143995872,0.018480834300901333,0.5744400345739114,-1
1976-04-01,0.025638437697264062,0.021387656006371047,0.6602572528409221,-1
1976-05-01,0.02910388842443558,0.03276463090812821,0.7303448829632322,-1
1976-06-01,0.03752179301548416,0.06901291049415749,0.7859740062750762,-1
1976-07-01,0.04730389966903026,0.10900532847919993,0.8301257622400172,-1
1976-08-01,0.05741028212134157,0.1314509080042293,0.8645349224845729,-1
1976-09-01,0.057286688122685836,0.12048340390876264,0.8889164729843844,-1
1976-10-01,0.059416824837418614,0.11690988736813396,0.905880772217565,-1
1976-11-01,0.0665214665424427,0.12644280914655373,0.9224118411043709,-1
1976-12-01,0.06403759229405821,0.11694284306654956,0.9362089958612054,-1
1977-01-01,0.07374818317636211,0.1333362431673822,0.947433379530259,-1
1977-02-01,0.07330852663372324,0.12736471118351492,0.9575795293705673,-1
1977-03-01,0.07934690133859933,0.1326781895485251,0.96632860519805,-1
1977-04-01,0.08709890643992282,0.13067275187711702,0.9721787643593425,-1
1977-05-01,0.09280491921952466,0.1300289550937513,0.9768771126766339,-1
1977-06-01,0.09866001353429424,0.13066666941132482,0.9789352919586608,-1
1977-07-01,0.09680755748833786,0.12995344063496683,0.9798961240518178,-1
1977-08-01,0.09942627907211363,0.1378779035152589,0.9794646633591162,-1
1977-09-01,0.11350328625132705,0.17028914963904268,0.9737083822057776,-1
1977-10-01,0.14250704595498628,0.21919135245941002,0.9574379534724642,-1
1977-11-01,0.17949558756151607,0.2951229537860732,0.9549512438172855,-1
1977-12-01,0.2185438018664277,0.3736104504118285,0.9533601510128025,-1
1978-01-01,0.304931548880934,0.4827111176204113,0.9629798642497824,-1
1978-02-01,0.3867624074423259,0.570740499104176,0.9706158635649489,-1
1978-03-01,0.4424285270620565,0.6367622662305695,0.9766775733126378,-1
1978-04-01,0.41666902434321207,0.6667723177007451,0.9814888130027749,-1
1978-05-01,0.36879685099330767,0.6885614367400308,0.9853075766021879,-1
1978-06-01,0.3535761610653678,0.7179760581255515,0.9883384430247361,-1
1978-07-01,0.36061437544801,0.7575480153719502,0.9907441957744413,-1
1978-08-01,0.3974923423739718,0.7946267014693666,0.9926536595424877,-1
1978-09-01,0.43058926813105447,0.8187037297084796,0.9941692021045735,-1
1978-10-01,0.5039013996958951,0.8437773596297935,0.9953720749429982,-1
1978-11-01,0.5642228395465132,0.8656008763772256,0.996326798408811,-1
1978-12-01,0.6179454574334899,0.8842836234527639,0.997084374264927,-1
1979-01-01,0.6324230661402721,0.8973099479924448,0.9976857250053601,-1
1979-02-01,0.6473427565878971,0.899504313744097,0.9981626604649928,-1
1979-03-01,0.6541536930634025,0.8949393098349093,0.998541479593662,-1
1979-04-01,0.688041848561355,0.8994266859795089,0.9983083279544864,-1
1979-05-01,0.7231105261665237,0.9038519422900493,0.998059746401793,-1
1979-06-01,0.734329045916341,0.9002329391329645,0.9977306038426097,-1
1979-07-01,0.7438431989712687,0.8849947515356158,0.9974639762046169,-1
1979-08-01,0.7339183946441995,0.8601959189411378,0.9968339432419956,-1
1979-09-01,0.747687235450167,0.8545574071057818,0.9962550105275971,-1
1979-10-01,0.7674850582548345,0.8494927944206982,0.9947476718003463,-1
1979-11-01,0.7855854959813563,0.8565056208359754,0.9938594306210173,-1
1979-12-01,0.7963760675834664,0.8673989966947262,0.9932404922756856,-1
1980-01-01,0.7986740727257804,0.8597845976267253,0.9915471103829224,-1
1980-02-01,0.7973678629892029,0.8654422282724656,0.9912536063299576,100
1980-03-01,0.7952904100001943,0.8669829798814136,0.9899479681039514,100
1980-04-01,0.7655088245873518,0.822191194454577,0.9870569214787301,100
1980-05-01,0.7655111880392552,0.8137937174148457,0.9856638254275858,100
1980-06-01,0.7446434040311785,0.8004718284299924,0.9869469040102993,100
1980-07-01,0.6930923822133515,0.7230965025184264,0.9712887253674716,100
1980-08-01,0.6745043372227533,0.7034101138252242,0.9675349062720833,-1
1980-09-01,0.6156624444562036,0.718989951432003,0.9742315784852709,-1
1980-10-01,0.534768973645693,0.7451884031749122,0.9795474678306118,-1
1980-11-01,0.44003292037842756,0.678946641903983,0.9808070882439203,-1
1980-12-01,0.45696728778719176,0.727738460195801,0.9834118741010902,-1
1981-01-01,0.5076284108056978,0.7441470819941397,0.9834500866017282,-1
1981-02-01,0.5540564671768234,0.7588301952080325,0.9840108322755564,-1
1981-03-01,0.5238516328786138,0.7104090613787332,0.9822425620439863,-1
1981-04-01,0.4505111323077986,0.5989792459614471,0.9080505670647872,-1
1981-05-01,0.45295712245308817,0.6402807631561895,0.9252268051578184,-1
1981-06-01,0.492719607717443,0.6626974374065032,0.9361037593057422,-1
1981-07-01,0.5323521496540968,0.6980564688039878,0.9452896930354491,-1
1981-08-01,0.5992843790846939,0.7432324443001996,0.9481518944268561,100
1981-09-01,0.6596314329977968,0.7838904386026727,0.9529084627523408,100
1981-10-01,0.702116220242088,0.8173637001453633,0.958111540187192,100
1981-11-01,0.7290347925622069,0.8414983142263364,0.9615409627144095,100
1981-12-01,0.6749311438978428,0.7815435366359146,0.9109271781837482,100
1982-01-01,0.6308568791990457,0.7148245718673856,0.8469100092886835,100
1982-02-01,0.6382091905891338,0.7078495338862308,0.8336880841015684,100
1982-03-01,0.6598638765384175,0.7236009732602355,0.8369373943738067,100
